"Selected police-reported crime and calls for service during the COVID-19 pandemic c 1 2 3 4"
"Frequency: Monthly"
"Table: 35-10-0169-01"
"Release date: 2021-11-22"
"Geography:"
""
""

"Geography","Total, Selected police services 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Violations and calls for service","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021"
"2020-09-10","On September 10, 2020, the data for June 2020 have been corrected for Winnipeg Police Service for assault and sexual assault violations and breakdowns."



Footnotes:
1,"The Canadian Centre for Justice and Community Safety Statistics (CCJCSS) is conducting a special survey collection from a sample of police services across Canada measuring the impact of COVID-19 on selected types of crimes and calls for service. In addition, counts of occurrences against provincial / territorial acts related to the containment of the COVID-19 pandemic were requested. Note that data for the selected violations in this table are preliminary and may differ from other data for the same reference years published from the Uniform Crime Reporting Survey as the collection processes differ. Previously published data may have been revised."
2,"Includes data reported by a sample of 19 police services across Canada for this release. At the time of this release, the Waterloo Regional Police Service was unable to provide violations data for the months of August and September 2021. Furthermore, the Montréal Police Service, Quebec Provincial Police, Royal Canadian Mounted Police, Edmonton Police Service and the Winnipeg Police Service were unable to provide calls for service data for all months. Additionally, some police services may not report data for every violation type or every call type in every month. Therefore, caution should be exercised when comparing monthly totals across police services."
3,"Calls for service (CFS) are defined as calls received by police services that are citizen-generated or officer initiated, and required the tasking of police resources (e.g., a call to a 9-1-1 emergency line that resulted in the dispatch of an officer). Calls for service information was reported for selected months by 14 police services."
4,"Some police services who provided calls for service information overall were not able to report for every call type. In addition, police services in some cases were unable to separate the call types as presented, and provided counts that combine one or more call type together. For example, calls for domestic disputes may include child welfare situations, and calls for other mental health may include some Mental Health Act (MHA) apprehensions. Interpret calls for service data with caution."
5,"Provincial and Territorial Acts related to COVID-19 include occurrences where police responded to an incident related to compliance under an act related to the COVID-19 pandemic, such as a provincial public health act or an emergency measures act. Some police services who provided information overall were not able to distinguish at the time of submission whether the occurrence was related to a provincial or federal act. Some occurrences may include responses related to the Federal Quarantine Act. Note that data on police-reported violations against the Federal Quarantine Act are captured in the UCR survey and published with annual crime statistics data."
6,"Overdose counts do not reflect all overdose incidents occurring within police service boundaries as response is frequently by paramedics. Where police do not attend, the occurrence will not appear in police records."



"How to cite: Statistics Canada. Table 35-10-0169-01  Selected police-reported crime and calls for service during the COVID-19 pandemic"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3510016901
