"Employment and unemployment rate, monthly, unadjusted for seasonality 1"
"Frequency: Monthly"
"Table: 14-10-0374-01"
"Release date: 2021-12-03"
"Geography: Canada, Province or territory"
""
""

,"Geography 2","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Small population centre 9  (x 1,000)","877.1","870.3","876.8","892.9","906.2","903.1","889.9","868.7","847.9","837.0","839.7","846.7","837.7","699.5","735.0","813.6","835.4","813.3","840.6","832.6","821.0","824.8","788.8","822.9","810.0","820.3","841.4","824.5","848.5","817.1","830.6"
,"Rural area 7  (x 1,000)","1,657.8","1,655.5","1,766.3","1,798.8","1,781.0","1,774.7","1,764.1","1,752.8","1,713.0","1,725.3","1,653.3","1,648.3","1,559.3","1,417.6","1,542.0","1,609.6","1,604.7","1,629.2","1,622.9","1,610.7","1,600.6","1,579.7","1,543.7","1,543.3","1,559.2","1,620.3","1,670.5","1,704.8","1,649.3","1,663.8","1,665.6"
,,"Percentage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Unemployment rate 10","Total, all population centres and rural areas","6.3","6.0","5.5","5.3","6.0","6.4","5.1","5.1","5.5","5.2","5.9","5.9","8.5","13.6","13.8","11.9","11.3","11.1","8.5","8.2","8.0","8.0","9.8","8.6","8.1","8.4","8.4","7.4","7.7","7.9","6.3"
,"Census metropolitan area and census agglomeration 4","6.1","5.7","5.5","5.4","6.1","6.4","5.1","5.0","5.4","5.1","5.8","5.8","8.4","13.4","14.1","12.3","11.7","11.6","8.7","8.3","8.1","8.1","9.9","8.6","8.1","8.4","8.6","7.6","7.8","8.0","6.5"
,"Core 5","6.1","5.8","5.6","5.5","6.2","6.5","5.3","5.1","5.6","5.2","5.8","5.8","8.4","13.5","14.4","12.6","12.0","11.9","9.0","8.6","8.4","8.3","10.1","8.9","8.3","8.6","8.9","7.9","8.1","8.2","6.7"
,"Fringe 6","5.2","4.8","4.9","4.2","5.5","6.3","4.2","5.3","4.6","4.1","5.7","5.5","7.7","13.1","10.7","9.4","9.7","7.7","5.9","6.2","6.4","6.4","8.9","7.5","7.5","8.5","7.6","6.1","7.3","6.8","5.5"
,"Rural area 7","5.9","5.6","4.8","4.1","4.6","6.0","3.9","3.9","3.9","4.4","5.7","5.4","8.9","12.7","11.9","10.0","8.8","9.2","6.8","6.9","6.2","6.7","8.3","6.2","5.8","5.9","5.8","4.5","4.7","6.1","4.5"
,"Non-census metropolitan area and non-census agglomeration 8","7.4","7.7","5.8","4.8","5.7","6.3","4.7","5.2","6.1","6.0","6.9","6.8","8.8","14.6","12.4","9.5","8.7","8.3","7.0","7.3","7.3","7.8","9.1","8.5","8.3","8.3","6.8","5.8","7.0","7.3","5.5"
,"Small population centre 9","6.1","6.4","5.7","5.0","6.1","6.5","4.9","5.4","5.9","5.8","6.6","6.5","8.1","15.6","14.1","11.2","9.7","9.6","7.2","7.2","7.1","7.8","8.3","7.2","7.4","7.0","6.2","5.7","6.7","7.0","5.0"
,"Rural area 7","8.0","8.4","5.9","4.7","5.5","6.2","4.6","5.2","6.3","6.1","7.0","7.0","9.2","14.2","11.6","8.6","8.2","7.6","6.8","7.3","7.5","7.8","9.5","9.2","8.7","9.0","7.0","5.9","7.1","7.5","5.7"




Footnotes:
1,"To ensure respondent confidentiality, estimates below a certain threshold are suppressed. For Canada, Quebec, Ontario, Alberta and British Columbia suppression is applied to all data below 1,500. The threshold level for Newfoundland and Labrador, Nova Scotia, New Brunswick, Manitoba and Saskatchewan is 500, while in Prince Edward Island, estimates under 200 are supressed. For census metropolitan areas (CMAs) and economic regions (ERs), use their respective provincial suppression levels mentioned above. Estimates are based on smaller sample sizes the more detailed the table becomes, which could result in lower data quality."
2,"Excluding the territories."
3,"Number of persons who, during the reference week, worked for pay or profit, or performed unpaid family work or had a job but were not at work due to own illness or disability, personal or family responsibilities, labour dispute, vacation, or other reason. Those persons on layoff and persons without work but who had a job to start at a definite date in the future are not considered employed. Estimates in thousands, rounded to the nearest hundred."
10,"The unemployment rate is the number of unemployed persons expressed as a percentage of the labour force. The unemployment rate for a particular group (age, sex, marital status, etc.) is the number unemployed in that group expressed as a percentage of the labour force for that group. Estimates are percentages, rounded to the nearest tenth."
4,"Are large population centres (known as cores) together with adjacent fringe and rural areas that have a high degree of social and economic integration with the cores. A CMA (census metropolitan area) has a population of at least 100,000 and a CA (census agglomeration) has a population of at least 10,000 based on the previous census."
5,"The core is the population centre with the highest population, around which a census metropolitan area (CMA) or census agglomeration (CA) is delineated. The core must have a population of at least 50,000 persons in the case of a CMA, or at least 10,000 persons in the case of a CA based on the previous census. This category also includes the secondary core, which is comprised of a population centre within a CMA that has at least 10,000 persons and was the core of a CA that has been merged with an adjacent CMA."
6,"The fringe includes all population centres within a census metropolitan area (CMA) or census agglomeration (CA) that have less than 10,000 persons, based on the previous census population counts, and are not contiguous with the core or secondary core."
7,"Rural areas are sparsely populated lands which include small towns, villages and other populated places with less than 1,000 population according to the previous census, as well as remote areas and agricultural lands. Rural areas can be found inside or outside of census metropolitan areas (CMA) or census agglomerations (CA)."
8,"Non-census metropolitan area or census agglomeration (Non-CMA/CA) is all areas outside of the metropolitan/agglomeration area."
9,"A small population centre is an area outside a census metropolitan area (CMA) or census agglomeration (CA). Small population centres have populations between 1,000 to 10,000 based on the previous census population counts."



"How to cite: Statistics Canada. Table 14-10-0374-01  Employment and unemployment rate, monthly, unadjusted for seasonality"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410037401
